"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Journal of Prevention of the Alzheimer's Disease","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","OA",""
"Journal of Proteome Research","Molecular & Cellular Biology - Methodology and Experimental Techniques","American Chemical Society (ACS)","Non-profit","Hybrid","2814"
"Journal of Proteomics","Ecology & Evolution - Genetics; Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit associated with a society","Hybrid","2800"
"Journal of Psychiatric Research","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","3038"
"Journal of Psychiatry and Neuroscience","Neurosciences - Clinical Neuroscience","Canadian Science Publishing","Non-profit","OA","1721"
"Journal of Psychoactive Drugs","Neurosciences - Generalist","Taylor & Francis Group","For-profit","",""
"Journal of Psychopharmacology","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","Hybrid","1321"
"Journal of Psychophysiology","Neurosciences - Neurophysiology","Hogrefe Publishing","For-profit","Hybrid","3000"
"Journal of Psychosomatic Research","Neurosciences - Generalist","Elsevier","For-profit associated with a society","Hybrid","3427"
"Journal of Raptor Research","Ecology & Evolution - Zoology","Raptor Research Foundation","Non-profit","Hybrid",""
"Journal of Reproduction and Development","Development - Reproduction","J-STAGE","Non-profit","OA","1404"
"Journal of Reproductive Immunology","Immunology - Reproductive Immunology","Elsevier","For-profit associated with a society","Hybrid","2455"
"Journal of Reproductive Medicine","Development - Reproduction","Journal of Reproductive Medicine, Inc.","Non-profit","",""
"Journal of Research in Medical Sciences","Generalist - Clinical/Medicine","Wolters Kluwer (Lippincott)","For-profit associated with a society","OA",""
"Journal of Science and Medicine in Sport","Anatomy & Physiology - Sport Science","Elsevier","For-profit associated with a society","Hybrid","2364"
"Journal of Sleep Research","Neurosciences - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","1842"
"Journal of Speech, Language, and Hearing Research","Neurosciences - Sensory Neuroscience","American Speech-Language-Hearing Association (ASHA)","Non-profit","Hybrid","1809"
"Journal of Spinal Cord Medicine","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","",""
"Journal of Sport and Exercise Psychology","Neurosciences - Neurophysiology","Human Kinetics","For-profit associated with a society","Hybrid","1813"
"Journal of Sport and Health Science","Anatomy & Physiology - Sport Science","Elsevier","For-profit","OA diamond","0"
"Journal of Statistical Software","Generalist - Statistics","Foundation for Open Access Statistics","Non-profit","OA diamond","0"
"Journal of Steroid Biochemistry and Molecular Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3670"
"Journal of Stroke","Neurosciences - Clinical Neuroscience","Korean Stroke Society","Non-profit","OA diamond","0"
"Journal of Stroke and Cerebrovascular Diseases","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","OA","2999"
"Journal of Structural Biology","Molecular & Cellular Biology - Structural Biology and Biophysics","Elsevier","For-profit","Hybrid","2618"
"Journal of Studies on Alcohol and Drugs","Neurosciences - Addiction","Alcohol Research Documentation, Inc.","Non-profit","Hybrid","3225"
"Journal of Substance Use","Neurosciences - Addiction","Taylor & Francis Group","For-profit","Hybrid","664"
"Journal of Sustainable Agriculture and Environment","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","OA","1788"
"Journal of Systematics and Evolution","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit","Hybrid","2500"
"Journal of the American Academy of Child and Adolescent Psychiatry","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2521"
"Journal of the American Society for Mass Spectrometry","Generalist - Methods","American Chemical Society (ACS)","Non-profit","Hybrid","2697"
"Journal of the Endocrine Society","Anatomy & Physiology - Endocrinology","Oxford University Press (OUP)","University Press associated with a society","OA","2240"
"Journal of the History of the Neurosciences","Neurosciences - Generalist","Taylor & Francis Group","For-profit","Hybrid","2011"
"Journal of the International AIDS Society","Immunology - Virology","John Wiley & Sons","For-profit associated with a society","OA","2527"
"Journal of the International Neuropsychological Society","Neurosciences - Cognitive Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","",""
"Journal of the Lepidopterists' Society","Ecology & Evolution - Zoology","The Lepidopterists' Society","Non-profit","Subscription",""
"Journal of the Marine Biological Association of the United Kingdom","Ecology & Evolution - Genetics","Cambridge University Press (CUP)","University Press","Hybrid","2836"
"Journal of the National Cancer Institute","Cancer - Generalist","Oxford University Press (OUP)","University Press","",""
"Journal of the National Comprehensive Cancer Network","Cancer - Generalist","National Comprehensive Cancer Network","Non-profit","",""
"Journal of the National Medical Association","Generalist - Clinical/Medicine","Elsevier","For-profit associated with a society","OA","2661"
"Journal of the National Museum (Prague) Natural History Series","Ecology & Evolution - Genetics","National Museum of Prague","Non-profit","OA diamond","0"
"Journal of the Neurological Sciences","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2992"
"Journal of Theoretical Biology","Generalist","Elsevier","For-profit","Hybrid","2670"
"Journal of the Pediatric Infectious Diseases Society","Immunology - Immunopathology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3086"
"Journal of the Peripheral Nervous System","Neurosciences - Neurophysiology","John Wiley & Sons","For-profit associated with a society","Hybrid","1881"
"Journal of The Royal Society Interface","Ecology & Evolution - Theory; Generalist","The Royal Society","Non-profit","Hybrid","2044"
"Journal of the Royal Society of Medicine","Generalist - Clinical/Medicine","Sage Publishing","For-profit associated with a society","OA","1279"
"Journal of Thoracic Oncology","Cancer - Thoracic and Respiratory Cancer","Elsevier","For-profit associated with a society","Hybrid","2374"
"Journal of Threatened Taxa","Ecology & Evolution - Genetics","Wildlife Information Liaison Development","Non-profit","OA","196"
"Journal of Toxicologic Pathology","Immunology - Immunotoxicology","J-STAGE","Non-profit","",""
"Journal of Translational Autoimmunity","Immunology - Autoimmunity","Elsevier","For-profit","OA","2461"
"Journal of Vector Ecology","Ecology & Evolution - Health","John Wiley & Sons","For-profit associated with a society","OA","440"
"Journal of Vegetation Science","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","4022"
"Journal of Vertebrate Biology","Ecology & Evolution - Zoology","Czech Academy of Sciences","Non-profit","OA diamond","0"
"Journal of Viral Hepatitis","Immunology - Virology","John Wiley & Sons","For-profit","Hybrid","2818"
"Journal of Virological Methods","Immunology - Virology","Elsevier","For-profit","Hybrid","2402"
"Journal of Virology","Ecology & Evolution - Health; Immunology - Virology","American Society for Microbiology (ASM)","Non-profit","Hybrid","2560"
"Journal of Virus Eradication","Immunology - Virology","Elsevier","For-profit","OA","1826"
"Journal of Vision","Neurosciences - Sensory Neuroscience","The Association for Research in Vision and Ophtalmology (ARVO)","Non-profit","OA","1900"
"Journal of Visual Impairment and Blindness","Neurosciences - Sensory Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Journal of Visualized Experiments","Generalist; Molecular & Cellular Biology - Methodology and Experimental Techniques","Journal of Visualized Experiments (JoVE)","For-profit","Hybrid","2973"
"Journal of Wildlife Diseases","Ecology & Evolution - Health; Immunology - Veterinary Immunology","Wildlife Disease Association (WDA)","Non-profit","Hybrid","1403"
"Journal of Wildlife Management","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2062"
"Journal of Zoology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","4170"
"Judgment and Decision Making","Neurosciences - Cognitive Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","OA","3675"
"Knowledge and Management of Aquatic Ecosystems","Ecology & Evolution - Genetics","EDP Science","For-profit","OA diamond","0"
"Landscape Ecology","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","3135"
"Language and Cognition","Neurosciences - Cognitive Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","OA",""
"Language and Speech","Neurosciences - Cognitive Neuroscience","Sage Publishing","For-profit","Hybrid","286"
"Language, Cognition and Neuroscience","Neurosciences - Cognitive Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1104"
"Lankesteriana","Ecology & Evolution - Genetics; Plants - Generalist","Lankester Botanical Garden (University of Costa Rica)","University Press","Subscription","0"
"La psychiatrie de l'enfant","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Presses Universitaires de France (PUF)","University Press","",""
"La revue neurologique","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","OA","1684"
"Learning and Memory","Neurosciences - Cognitive Neuroscience","Cold Spring Harbor (CSH) Laboratory Press","Non-profit","Hybrid","1579"
"Learning and Motivation","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit","Hybrid","2260"
"L'encéphale","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","1648"
"Leprosy Review","Immunology - Immunopathology","Lepra","Non-profit","OA",""
"Letters in Applied Microbiology","Ecology & Evolution - Microbiology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Oxford University Press (OUP)","For-profit associated with a society","Hybrid","2604"
"Leukemia","Cancer - Hematopoietic and Cardiovascular Cancer","Springer Nature","For-profit","Hybrid","3344"
"Leukemia and Lymphoma","Cancer - Hematopoietic and Cardiovascular Cancer","Taylor & Francis Group","For-profit","Hybrid","3393"
"Leukemia Research","Cancer - Hematopoietic and Cardiovascular Cancer","Elsevier","For-profit associated with a society","Hybrid","2203"
"Life Science Alliance","Generalist","Life Science Alliance LLC (commonly owned by EMBO press, Rockefeller University Press, CSH Laboratory Press)","Non-profit","OA","3308"
"Life Sciences","Generalist","Elsevier","For-profit","OA","3169"
"Lindbergia","Ecology & Evolution - Genetics; Plants - Generalist","Oikos Editorial Office","Non-profit","OA diamond","0"
"Lipids","Molecular & Cellular Biology - Biochemistry and Molecular Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","2220"
"Liver Cancer","Cancer - Gastrointestinal cancer","Karger Publishers","For-profit associated with a society","OA","2750"
"Liver Transplantation","Immunology - Transplant Immunology","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","1121"
"Lung Cancer","Cancer - Thoracic and Respiratory Cancer","Elsevier","For-profit associated with a society","Hybrid","2820"
"Lupus","Immunology - Autoimmunity","Sage Publishing","For-profit","Hybrid","595"
"Lupus Science and Medicine","Immunology - Autoimmunity","BMJ Group","Non-profit","OA","2160"
